epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,13060.7,0.65874,0.60622,0.90396,0.81398,0.64621,0.71204,0.62631,0.39012,0.32625,0.80427,0.006733,0.006733,0.006733
35,13444.3,0.65134,0.5993,0.89985,0.74895,0.67227,0.73115,0.64121,0.38843,0.32344,0.80162,0.006634,0.006634,0.006634
36,13827.6,0.65378,0.59074,0.90291,0.80783,0.6553,0.77034,0.67109,0.38842,0.32066,0.80474,0.006535,0.006535,0.006535
37,14211.1,0.65029,0.58896,0.90027,0.76189,0.6672,0.78202,0.66478,0.39473,0.32491,0.80478,0.006436,0.006436,0.006436
38,14594,0.64184,0.58012,0.8984,0.84124,0.63287,0.74938,0.6531,0.38422,0.31664,0.8022,0.006337,0.006337,0.006337
39,14978.8,0.64439,0.58136,0.89976,0.82999,0.66543,0.74501,0.65423,0.38007,0.31391,0.80162,0.006238,0.006238,0.006238
40,15362.5,0.64397,0.57599,0.89799,0.72488,0.70687,0.7699,0.68554,0.37928,0.31042,0.79936,0.006139,0.006139,0.006139
41,15745.5,0.64287,0.56755,0.89888,0.74482,0.72546,0.79245,0.69788,0.37785,0.3072,0.80061,0.00604,0.00604,0.00604
42,16128.1,0.63081,0.56381,0.89285,0.82216,0.66245,0.74786,0.66025,0.37917,0.30708,0.80004,0.005941,0.005941,0.005941
43,16510.8,0.63543,0.56621,0.89667,0.83843,0.67024,0.80578,0.70471,0.37549,0.29882,0.79889,0.005842,0.005842,0.005842
44,16893.7,0.63129,0.55604,0.89356,0.82815,0.66591,0.75545,0.664,0.37345,0.29997,0.79843,0.005743,0.005743,0.005743
45,17277.1,0.63396,0.55403,0.89378,0.81526,0.68939,0.80716,0.7034,0.37204,0.29755,0.79723,0.005644,0.005644,0.005644
46,17661.6,0.62806,0.54929,0.89254,0.82975,0.68053,0.77573,0.68798,0.36885,0.2961,0.79632,0.005545,0.005545,0.005545
47,18046.1,0.62278,0.54251,0.892,0.71326,0.7491,0.82117,0.72839,0.37064,0.29251,0.79743,0.005446,0.005446,0.005446
48,18430.9,0.62542,0.5446,0.89122,0.82982,0.69572,0.79804,0.71113,0.37093,0.29047,0.79687,0.005347,0.005347,0.005347
49,18815.1,0.6239,0.54085,0.89184,0.67522,0.73675,0.79107,0.70639,0.36856,0.28872,0.79614,0.005248,0.005248,0.005248
50,19198.2,0.6165,0.53523,0.89087,0.78802,0.69862,0.80354,0.71525,0.36584,0.28629,0.79574,0.005149,0.005149,0.005149
51,19581.8,0.61639,0.53184,0.8906,0.76174,0.74475,0.82278,0.73829,0.36282,0.27864,0.79466,0.00505,0.00505,0.00505
52,19966.1,0.61767,0.52652,0.88933,0.81609,0.70278,0.80942,0.72172,0.36096,0.27936,0.79405,0.004951,0.004951,0.004951
53,20349,0.61007,0.51954,0.88937,0.77206,0.73038,0.80322,0.71924,0.35934,0.2759,0.79416,0.004852,0.004852,0.004852
54,20732,0.61298,0.51837,0.88692,0.76284,0.74747,0.82311,0.73514,0.35717,0.27265,0.79427,0.004753,0.004753,0.004753
55,21114.6,0.60607,0.51317,0.8854,0.76372,0.75746,0.80348,0.70882,0.35678,0.27032,0.7942,0.004654,0.004654,0.004654
56,21497.4,0.60937,0.51299,0.88821,0.73974,0.77103,0.82761,0.73885,0.35744,0.27108,0.79479,0.004555,0.004555,0.004555
57,21881.1,0.60711,0.5085,0.88657,0.79606,0.73227,0.83013,0.73961,0.35691,0.26869,0.79342,0.004456,0.004456,0.004456
58,22263.8,0.6018,0.50397,0.88351,0.75891,0.74675,0.81817,0.73387,0.35871,0.26785,0.79423,0.004357,0.004357,0.004357
59,22647,0.59599,0.49974,0.88345,0.79147,0.76774,0.82491,0.73641,0.35534,0.26566,0.79335,0.004258,0.004258,0.004258
60,23030.1,0.59721,0.49859,0.88346,0.80526,0.76828,0.83302,0.73991,0.3529,0.26277,0.79267,0.004159,0.004159,0.004159
61,23413.2,0.59315,0.49043,0.88285,0.79516,0.77605,0.83781,0.74341,0.35356,0.26265,0.79258,0.00406,0.00406,0.00406
62,23797.9,0.59959,0.49474,0.88404,0.74255,0.78665,0.8386,0.74185,0.35203,0.26176,0.79234,0.003961,0.003961,0.003961
63,24182.8,0.59086,0.48351,0.88006,0.83676,0.75228,0.83268,0.73993,0.35087,0.26006,0.79199,0.003862,0.003862,0.003862
64,24567.6,0.58922,0.48302,0.8812,0.76778,0.78419,0.8389,0.74779,0.35093,0.25813,0.79138,0.003763,0.003763,0.003763
65,24951.5,0.58406,0.4785,0.87851,0.79307,0.78845,0.83844,0.75027,0.3511,0.25704,0.79141,0.003664,0.003664,0.003664
66,25336.5,0.58872,0.47713,0.87936,0.79375,0.79691,0.83573,0.74557,0.34873,0.25394,0.79105,0.003565,0.003565,0.003565
67,25720,0.583,0.47231,0.87931,0.8076,0.78243,0.83413,0.74296,0.34822,0.25329,0.79118,0.003466,0.003466,0.003466
68,26103.1,0.58079,0.46731,0.87828,0.84798,0.74767,0.83246,0.74477,0.34585,0.25211,0.79052,0.003367,0.003367,0.003367
69,26485.4,0.5793,0.46631,0.87662,0.75641,0.85779,0.84266,0.75068,0.34548,0.24937,0.79005,0.003268,0.003268,0.003268
70,26868.9,0.58187,0.46398,0.87745,0.76125,0.84748,0.84224,0.75122,0.34539,0.24651,0.78978,0.003169,0.003169,0.003169
71,27253,0.5733,0.45896,0.87601,0.83747,0.75947,0.83308,0.74124,0.34319,0.24637,0.78935,0.00307,0.00307,0.00307
72,27638,0.57273,0.4575,0.87656,0.75743,0.82942,0.83242,0.74298,0.34252,0.24645,0.78921,0.002971,0.002971,0.002971
73,28021.7,0.56911,0.45011,0.87664,0.80805,0.81259,0.84086,0.75135,0.34185,0.24512,0.78898,0.002872,0.002872,0.002872
74,28405.5,0.5744,0.45252,0.8767,0.83213,0.80359,0.84299,0.75254,0.34144,0.24471,0.7885,0.002773,0.002773,0.002773
75,28788.8,0.56363,0.44331,0.87285,0.84521,0.79804,0.84826,0.75805,0.3405,0.24418,0.78827,0.002674,0.002674,0.002674
76,29172.1,0.56749,0.44543,0.87527,0.8361,0.80665,0.84731,0.75872,0.33952,0.24201,0.788,0.002575,0.002575,0.002575
77,29556.1,0.56669,0.44475,0.87636,0.85836,0.79776,0.84982,0.76036,0.34035,0.24042,0.7877,0.002476,0.002476,0.002476
78,29940.3,0.5601,0.43567,0.87173,0.83395,0.8243,0.85233,0.76385,0.33875,0.23841,0.7872,0.002377,0.002377,0.002377
79,30324.2,0.55872,0.43278,0.87202,0.83974,0.81808,0.84438,0.75874,0.33841,0.23754,0.78693,0.002278,0.002278,0.002278
80,30706.8,0.56185,0.43214,0.87193,0.84496,0.81073,0.84309,0.75582,0.33807,0.23722,0.78731,0.002179,0.002179,0.002179
81,31090.7,0.55418,0.42599,0.86945,0.85177,0.80858,0.84353,0.76043,0.33806,0.23766,0.78761,0.00208,0.00208,0.00208
82,31475.7,0.54785,0.42366,0.86966,0.84716,0.83753,0.8503,0.76472,0.33791,0.23722,0.78767,0.001981,0.001981,0.001981
83,31861.3,0.55348,0.42129,0.86863,0.84654,0.83284,0.85066,0.7651,0.33839,0.23705,0.78779,0.001882,0.001882,0.001882
84,32246.3,0.54511,0.41534,0.86731,0.84026,0.83754,0.84989,0.76406,0.33784,0.23644,0.78764,0.001783,0.001783,0.001783
85,32629.8,0.54289,0.4115,0.86803,0.87246,0.81595,0.84955,0.76306,0.33732,0.23524,0.78759,0.001684,0.001684,0.001684
86,33013.3,0.55079,0.41365,0.86989,0.86527,0.82774,0.85085,0.767,0.33677,0.23494,0.78743,0.001585,0.001585,0.001585
87,33399.3,0.54253,0.40717,0.86773,0.87314,0.82698,0.85258,0.76991,0.33661,0.23413,0.78738,0.001486,0.001486,0.001486
88,33783,0.53987,0.40529,0.86671,0.87304,0.82852,0.85289,0.76931,0.3368,0.23361,0.78747,0.001387,0.001387,0.001387
89,34166.3,0.53729,0.40062,0.86578,0.87155,0.82723,0.85038,0.77051,0.33613,0.23271,0.78754,0.001288,0.001288,0.001288
90,34550.8,0.53779,0.39713,0.86461,0.86941,0.83237,0.85396,0.77209,0.33616,0.23226,0.78757,0.001189,0.001189,0.001189
91,34932.9,0.5773,0.39268,0.86818,0.86877,0.8336,0.85412,0.76838,0.33696,0.23235,0.78756,0.00109,0.00109,0.00109
92,35313.1,0.57156,0.38154,0.86888,0.86961,0.83201,0.85384,0.76771,0.33668,0.23141,0.7874,0.000991,0.000991,0.000991
93,35694.7,0.5661,0.38003,0.86739,0.86839,0.83393,0.85383,0.76681,0.33637,0.23089,0.78729,0.000892,0.000892,0.000892
94,36076.3,0.55861,0.37142,0.86452,0.87335,0.83395,0.85371,0.7657,0.33662,0.23065,0.78742,0.000793,0.000793,0.000793
95,36457.6,0.55854,0.36626,0.86253,0.87681,0.8326,0.85399,0.7661,0.33619,0.2301,0.7873,0.000694,0.000694,0.000694
96,36838.5,0.55553,0.36502,0.86046,0.88214,0.82831,0.85392,0.76555,0.3357,0.22962,0.78731,0.000595,0.000595,0.000595
97,37219.3,0.55262,0.3589,0.86164,0.88258,0.82734,0.85426,0.76611,0.33509,0.22929,0.78721,0.000496,0.000496,0.000496
98,37600.3,0.55017,0.3569,0.86188,0.88203,0.82787,0.85423,0.76613,0.33498,0.22907,0.78718,0.000397,0.000397,0.000397
99,37981.2,0.54801,0.35248,0.85722,0.88207,0.82851,0.85434,0.76634,0.33486,0.22897,0.78712,0.000298,0.000298,0.000298
100,38362.4,0.54569,0.34906,0.85837,0.8833,0.82884,0.8544,0.76754,0.33485,0.22869,0.78702,0.000199,0.000199,0.000199
